CAMERA TYPE,CAMERA LOCATION CODE,LOCATION DESCRIPTION,Location
MOBILE SPEED CAMERA,0062C,"Drakeford Dr, Greenway ACT 2900, Australia","(-35.4067, 149.07405)"
MOBILE SPEED CAMERA,0196C,"68 Anthony Rolfe Ave, Gungahlin ACT 2912, Australia","(-35.18334, 149.13377)"
MOBILE SPEED CAMERA,0008A,"Erindale Dr, Fadden ACT 2904, Australia","(-35.39989, 149.1061)"
MOBILE SPEED CAMERA,0122B,"Gungahlin Dr, O'Connor ACT 2602, Australia","(-35.25208, 149.10008)"
MOBILE SPEED CAMERA,0090A,"Majura Parkway, Canberra ACT 2609, Australia","(-35.22194, 149.19591)"
MOBILE SPEED CAMERA,3039A,"30A Donaldson St, Braddon ACT 2612, Australia","(-35.274185, 149.139599)"
MOBILE SPEED CAMERA,0195B,"54 McCormack St, Curtin ACT 2605, Australia","(-35.33064, 149.07493)"
MOBILE SPEED CAMERA,0126A,"30 Redfern St, Cook ACT 2614, Australia","(-35.25576, 149.05887)"
MOBILE SPEED CAMERA,0023A,"Parkes Way, Acton ACT 2601, Australia","(-35.28509, 149.10207)"
MOBILE SPEED CAMERA,0172B,"162 Lawrence Wackett Cres, Theodore ACT 2905, Australia","(-35.44584, 149.1188)"
MOBILE SPEED CAMERA,0068D,"Erindale Dr, Canberra ACT 2901, Australia","(-35.38629, 149.11574)"
MOBILE SPEED CAMERA,0095G,"Sulwood Dr, Kambah ACT 2902, Australia","(-35.38312, 149.08737)"
MOBILE SPEED CAMERA,0047C,"171 Chuculba Cres, Giralang ACT 2617, Australia","(-35.21572, 149.10006)"
MOBILE SPEED CAMERA,0185B,"9 Brisbane Ave, Barton ACT 2600, Australia","(-35.3097, 149.1373)"
MOBILE SPEED CAMERA,0020E,"Alexander Maconochie Centre, 10400 Monaro Hwy, Hume ACT 2620, Australia","(-35.3764, 149.1697)"
MOBILE SPEED CAMERA,0072E,"Monaro Hwy, Gilmore ACT 2905, Australia","(-35.42882, 149.13499)"
MOBILE SPEED CAMERA,0230C,"John Gorton Dr, Coombs ACT 2611, Australia","(-35.309181, 149.031272)"
MOBILE SPEED CAMERA,0233G,"Cotter Rd, Yarralumla ACT 2600, Australia","(-35.312334, 149.086803)"
MOBILE SPEED CAMERA,0237A,"8 Railway St, Oaks Estate ACT 2620, Australia","(-35.342431, 149.228473)"
MOBILE SPEED CAMERA,0090D,"744 Majura Rd, Canberra ACT 2609, Australia","(-35.27146, 149.19578)"
MOBILE SPEED CAMERA,0061A,"1 Barton Hwy, Lyneham ACT 2602, Australia","(-35.23733, 149.13322)"
MOBILE SPEED CAMERA,0088D,"879 Cotter Rd, Stromlo ACT 2611, Australia","(-35.330171, 149.011335)"
MOBILE SPEED CAMERA,0156J,"121 Streeton Dr, Stirling ACT 2611, Australia","(-35.35174, 149.04197)"
MOBILE SPEED CAMERA,0037F,"241 Namatjira Dr, Fisher ACT 2611, Australia","(-35.36943, 149.05049)"
MOBILE SPEED CAMERA,0053C,"290 Goyder St, Narrabundah ACT 2604, Australia","(-35.34124, 149.14232)"
MOBILE SPEED CAMERA,0004P,"Belconnen Way, Belconnen ACT 2617, Australia","(-35.24444, 149.0598)"
MOBILE SPEED CAMERA,0159A,"54-56 Arthur Cir, Griffith ACT 2603, Australia","(-35.3229, 149.12515)"
MOBILE SPEED CAMERA,0015G,"Kingsford Smith Dr, Florey ACT 2615, Australia","(-35.22113, 149.04042)"
MOBILE SPEED CAMERA,0056D,"Athllon Dr, Wanniassa ACT 2903, Australia","(-35.38644, 149.09164)"
MOBILE SPEED CAMERA,0012C,"Gungahlin Dr, Gungahlin ACT 2912, Australia","(-35.19584, 149.12982)"
MOBILE SPEED CAMERA,0192B,"83-85 Dunstan St, Curtin ACT 2605, Australia","(-35.31892, 149.07166)"
MOBILE SPEED CAMERA,0196G,"333 Anthony Rolfe Ave, Gungahlin ACT 2912, Australia","(-35.18607, 149.15205)"
MOBILE SPEED CAMERA,0162D,"Carruthers St, Curtin ACT 2605, Australia","(-35.32577, 149.08543)"
MOBILE SPEED CAMERA,0061S,"Barton Hwy, Hall ACT 2618, Australia","(-35.178499, 149.068179)"
MOBILE SPEED CAMERA,0185A,"22 Brisbane Ave, Barton ACT 2600, Australia","(-35.30937, 149.13618)"
MOBILE SPEED CAMERA,0091B,"50 Ellenborough St, Lyneham ACT 2602, Australia","(-35.2344, 149.12518)"
MOBILE SPEED CAMERA,0083A,"Commonwealth Ave, Parkes ACT 2600, Australia","(-35.28884, 149.12754)"
MOBILE SPEED CAMERA,0158B,"Woodcock Dr, Gordon ACT 2906, Australia","(-35.44887, 149.07978)"
MOBILE SPEED CAMERA,0091A,"50 Ellenborough St, Lyneham ACT 2602, Australia","(-35.23733, 149.1254)"
MOBILE SPEED CAMERA,3035A,"38 Murranji St, Hawker ACT 2614, Australia","(-35.24436, 149.031399)"
MOBILE SPEED CAMERA,3034A,"St Francis Xavier College, 12 Barnard Circuit, Florey ACT 2615, Australia","(-35.225425, 149.040971)"
MOBILE SPEED CAMERA,0096L,"Coulter Dr, Belconnen ACT 2617, Australia","(-35.2344, 149.05799)"
MOBILE SPEED CAMERA,0020H,"Monaro Hwy, Hume ACT 2620, Australia","(-35.39006, 149.16425)"
MOBILE SPEED CAMERA,0056E,"Athllon Dr, Wanniassa ACT 2903, Australia","(-35.39055, 149.0827)"
MOBILE SPEED CAMERA,0201A,"William Slim Dr, McKellar ACT 2617, Australia","(-35.21841, 149.08097)"
MOBILE SPEED CAMERA,0149C,"49 Paperbark St, Banks ACT 2906, Australia","(-35.47087, 149.10388)"
MOBILE SPEED CAMERA,0145B,"Summerland Circuit, Kambah ACT 2902, Australia","(-35.3904, 149.07277)"
MOBILE SPEED CAMERA,0136A,"40 McInnes St, Weston ACT 2611, Australia","(-35.34377, 149.06134)"
MOBILE SPEED CAMERA,0243B,"Majura Parkway, Canberra ACT 2609, Australia","(-35.227493, 149.19635)"
MOBILE SPEED CAMERA,0082G,"William Hovell Dr, Molonglo Valley ACT 2611, Australia","(-35.2694, 149.04466)"
MOBILE SPEED CAMERA,0130B,"72 Chewings St, Page ACT 2614, Australia","(-35.23469, 149.04606)"
MOBILE SPEED CAMERA,0002Q,"95 Antill St, Downer ACT 2602, Australia","(-35.24879, 149.14273)"
MOBILE SPEED CAMERA,0084B,"Gundaroo Dr, Nicholls ACT 2913, Australia","(-35.19428, 149.11032)"
MOBILE SPEED CAMERA,0209B,"110 Bandjalong Cres, Aranda ACT 2614, Australia","(-35.25845, 149.0832)"
MOBILE SPEED CAMERA,0208A,"154 Miller St, O'Connor ACT 2602, Australia","(-35.25045, 149.11941)"
MOBILE SPEED CAMERA,3017A,"111 Denison St, Deakin ACT 2600, Australia","(-35.32379, 149.093457)"
MOBILE SPEED CAMERA,0043A,"18 Williamson St, Holder ACT 2611, Australia","(-35.33926, 149.04715)"
MOBILE SPEED CAMERA,0128B,"49 Officer Cres, Ainslie ACT 2602, Australia","(-35.25506, 149.15262)"
MOBILE SPEED CAMERA,0012A,"Gungahlin Dr, Gungahlin ACT 2912, Australia","(-35.1876, 149.12121)"
MOBILE SPEED CAMERA,0142A,"Reedy Creek, 585 Sutton Rd, Canberra ACT 2609, Australia","(-35.31536, 149.24398)"
MOBILE SPEED CAMERA,0202A,"Anzac Parade, Parkes ACT 2600, Australia","(-35.28602, 149.14435)"
MOBILE SPEED CAMERA,0188D,"Johnson Dr, Calwell ACT 2905, Australia","(-35.43508, 149.12182)"
MOBILE SPEED CAMERA,3025A,"141-145 Ellerston Ave, Isabella Plains ACT 2905, Australia","(-35.429008, 149.090024)"
MOBILE SPEED CAMERA,0072F,"Monaro Hwy, Gilmore ACT 2905, Australia","(-35.42455, 149.14035)"
MOBILE SPEED CAMERA,0123A,"156 Drake-Brockman Dr, Holt ACT 2615, Australia","(-35.23059, 149.01133)"
MOBILE SPEED CAMERA,0231D,"6391 Kings Hwy, Kowen ACT 2620, Australia","(-35.335369, 149.324454)"
FIXED ONLY SPEED CAMERA,1032N,MONARO HIGHWAY NEAR HINDMARSH DRIVE OVERPASS,"(-35.34167, 149.162871)"
MOBILE SPEED CAMERA,0231A,"6391 Kings Hwy, Kowen ACT 2620, Australia","(-35.334962, 149.324708)"
MOBILE SPEED CAMERA,4001A,"1125 Barton Hwy, Australian Capital Territory 2617, Australia","(-35.198973, 149.092068)"
MOBILE SPEED CAMERA,0029F,"127 Owen Dixon Dr, Evatt ACT 2617, Australia","(-35.20189, 149.0755)"
MOBILE SPEED CAMERA,0099D,"Yamba Dr, Phillip ACT 2606, Australia","(-35.34212, 149.09576)"
MOBILE SPEED CAMERA,0186C,"77 Athllon Dr, Greenway ACT 2900, Australia","(-35.41806, 149.06412)"
MOBILE SPEED CAMERA,0129B,"Monaro Hwy, Fyshwick ACT 2609, Australia","(-35.3137, 149.16951)"
MOBILE SPEED CAMERA,0181E,"77 Majura Ave, Dickson ACT 2602, Australia","(-35.2562, 149.14212)"
MOBILE SPEED CAMERA,0178K,"Mitchell Resource Management Centre, 100 Flemington Rd, Australian Capital Territory 2912, Australia","(-35.21377, 149.14672)"
MOBILE SPEED CAMERA,0174C,"49 MacGregor St, Deakin ACT 2600, Australia","(-35.31639, 149.10395)"
MOBILE SPEED CAMERA,0104B,"98 Mawson Dr, Mawson ACT 2607, Australia","(-35.36326, 149.09653)"
MOBILE SPEED CAMERA,0050A,"113 Darwinia Terrace, Rivett ACT 2611, Australia","(-35.35324, 149.03636)"
MOBILE SPEED CAMERA,0020C,"10400 Monaro Hwy, Symonston ACT 2609, Australia","(-35.36493, 149.16759)"
MOBILE SPEED CAMERA,0026B,"Tuggeranong Pkwy, Chifley ACT 2606, Australia","(-35.36059, 149.06827)"
MOBILE SPEED CAMERA,0243J,"Majura Parkway, Canberra ACT 2609, Australia","(-35.221761, 149.195718)"
MOBILE SPEED CAMERA,0243E,"Majura Parkway, Canberra ACT 2609, Australia","(-35.259035, 149.187355)"
MOBILE SPEED CAMERA,0254A,"89 Companion Cres, Flynn ACT 2615, Australia","(-35.209291, 149.038725)"
MOBILE SPEED CAMERA,0183C,"49 Coyne St, MacArthur ACT 2904, Australia","(-35.409051, 149.126379)"
MOBILE SPEED CAMERA,0243I,"Majura Parkway, Canberra ACT 2609, Australia","(-35.234002, 149.195269)"
MOBILE SPEED CAMERA,0241A,"38 Shumack St, Weetangera ACT 2614, Australia","(-35.247866, 149.049985)"
MOBILE SPEED CAMERA,0027F,"Yamba Dr, Farrer ACT 2607, Australia","(-35.37417, 149.11008)"
MOBILE SPEED CAMERA,0196B,"213 Anthony Rolfe Ave, Gungahlin ACT 2912, Australia","(-35.18514, 149.14414)"
MOBILE SPEED CAMERA,0077F,"Yarra Glen, Hughes ACT 2605, Australia","(-35.32508, 149.08799)"
MOBILE SPEED CAMERA,0027D,"Yamba Dr, Mawson ACT 2607, Australia","(-35.35918, 149.1033)"
MOBILE SPEED CAMERA,0194A,"33 Jennings St, Curtin ACT 2605, Australia","(-35.3236, 149.07102)"
FIXED ONLY SPEED CAMERA,1032S,MONARO HIGHWAY NEAR HINDMARSH DRIVE OVERPASS,"(-35.34168, 149.163271)"
MOBILE SPEED CAMERA,0156F,"Streeton Dr, Holder ACT 2611, Australia","(-35.3399, 149.05101)"
MOBILE SPEED CAMERA,0180A,"51-53 Spalding St, Flynn ACT 2615, Australia","(-35.1993, 149.04772)"
MOBILE SPEED CAMERA,0105B,"35 Stonehaven Cres, Deakin ACT 2600, Australia","(-35.31869, 149.11207)"
MOBILE SPEED CAMERA,0106D,"99-101 William Webb Dr, Evatt ACT 2617, Australia","(-35.21365, 149.0727)"
MOBILE SPEED CAMERA,0024A,"Tuggeranong Pkwy, Molonglo Valley ACT 2611, Australia","(-35.30153, 149.0659)"
MOBILE SPEED CAMERA,0094A,"188 Southern Cross Dr, Latham ACT 2615, Australia","(-35.22352, 149.03047)"
MOBILE SPEED CAMERA,0006C,"John Gorton Dr, Denman Prospect ACT 2611, Australia","(-35.30475, 149.03109)"
MOBILE SPEED CAMERA,0063E,"Hindmarsh Dr, Symonston ACT 2609, Australia","(-35.34443, 149.13372)"
MOBILE SPEED CAMERA,0115G,"Isabella Dr, Monash ACT 2904, Australia","(-35.42151, 149.0955)"
MOBILE SPEED CAMERA,0003C,"Athllon Dr, Farrer ACT 2607, Australia","(-35.3739, 149.09302)"
MOBILE SPEED CAMERA,0156H,"68 Streeton Dr, Rivett ACT 2611, Australia","(-35.34797, 149.04457)"
MOBILE SPEED CAMERA,0027A,"Yamba Dr, Mawson ACT 2607, Australia","(-35.36659, 149.10778)"
MOBILE SPEED CAMERA,0145A,"20 Summerland Circuit, Kambah ACT 2902, Australia","(-35.38362, 149.0638)"
RED LIGHT AND SPEED CAMERA,1004,DRAKEFORD DRIVE/BODDINGTON CRESCENT/MARCONI CRESCENT,"(-35.37887, 149.056401)"
MOBILE SPEED CAMERA,0061U,"Barton Hwy, Hall ACT 2618, Australia","(-35.170852, 149.060613)"
MOBILE SPEED CAMERA,0252B,"34 Don Dunstan Dr, Bonython ACT 2905, Australia","(-35.428973, 149.072253)"
MOBILE SPEED CAMERA,0014A,"Hindmarsh Dr, Phillip ACT 2606, Australia","(-35.34909, 149.08742)"
MOBILE SPEED CAMERA,0142C,"235 Sutton Rd, Canberra ACT 2609, Australia","(-35.30373, 149.25141)"
MOBILE SPEED CAMERA,3024A,"29 Bramston St, Fadden ACT 2904, Australia","(-35.40526, 149.117831)"
MOBILE SPEED CAMERA,0077G,"Yarra Glen, Hughes ACT 2605, Australia","(-35.32972, 149.08623)"
MOBILE SPEED CAMERA,0219A,"63 Verbrugghen St, Melba ACT 2615, Australia","(-35.21345, 149.05398)"
MOBILE SPEED CAMERA,0052B,"81 Novar St, Yarralumla ACT 2600, Australia","(-35.3033, 149.09835)"
MOBILE SPEED CAMERA,0149A,"50 Paperbark St, Banks ACT 2906, Australia","(-35.47114, 149.10344)"
MOBILE SPEED CAMERA,0094B,"216 Southern Cross Dr, Latham ACT 2615, Australia","(-35.2215, 149.02763)"
MOBILE SPEED CAMERA,0160A,"Federation Mall, Capital Hill ACT 2600, Australia","(-35.30453, 149.12707)"
MOBILE SPEED CAMERA,0143A,"17 Bateman St, Kambah ACT 2902, Australia","(-35.39096, 149.05003)"
MOBILE SPEED CAMERA,0072Q,"Monaro Hwy, Australian Capital Territory 2901, Australia","(-35.519423, 149.145319)"
MOBILE SPEED CAMERA,0222A,"47 Shoalhaven Ave, Amaroo ACT 2914, Australia","(-35.171001, 149.125079)"
MOBILE SPEED CAMERA,0163A,"75 Gilmore Cres, Garran ACT 2605, Australia","(-35.34326, 149.10896)"
MOBILE SPEED CAMERA,0087F,"123 Clift Cres, Chisholm ACT 2905, Australia","(-35.42997, 149.11998)"
MOBILE SPEED CAMERA,0066I,"Ginninderra Dr, Belconnen ACT 2617, Australia","(-35.22182, 149.06487)"
MOBILE SPEED CAMERA,0112C,"Bmx Track, 15 Copland Dr, Melba ACT 2615, Australia","(-35.21419, 149.05814)"
MOBILE SPEED CAMERA,0075C,"Parkes Way, Acton ACT 2601, Australia","(-35.2851, 149.11259)"
MOBILE SPEED CAMERA,3023A,"23 Carruthers St, Curtin ACT 2605, Australia","(-35.331275, 149.078696)"
MOBILE SPEED CAMERA,0075I,"Parkes Way, Canberra ACT 2601, Australia","(-35.28573, 149.12487)"
MOBILE SPEED CAMERA,0171D,"Brighton, 72 Wentworth Ave, Kingston ACT 2604, Australia","(-35.31873, 149.14694)"
MOBILE SPEED CAMERA,3031A,"177 Tillyard Dr, Fraser ACT 2615, Australia","(-35.192488, 149.043271)"
MOBILE SPEED CAMERA,0080A,"Kings Ave, Parkes ACT 2600, Australia","(-35.300499, 149.143943)"
MOBILE SPEED CAMERA,0051C,"218 La Perouse St, Red Hill ACT 2603, Australia","(-35.34016, 149.1283)"
MOBILE SPEED CAMERA,3032A,"37-39 Heydon Cres, Evatt ACT 2617, Australia","(-35.207325, 149.076384)"
MOBILE SPEED CAMERA,0211C,"40 Lachlan St, Macquarie ACT 2614, Australia","(-35.25153, 149.0637)"
MOBILE SPEED CAMERA,0010C,"Ginninderra Dr, Flynn ACT 2615, Australia","(-35.21231, 149.03827)"
MOBILE SPEED CAMERA,0044A,"209 Tillyard Dr, Fraser ACT 2615, Australia","(-35.18999, 149.0464)"
MOBILE SPEED CAMERA,0011F,"Ginninderra Dr, O'Connor ACT 2602, Australia","(-35.24318, 149.12002)"
MOBILE SPEED CAMERA,4002B,"Horse Park Dr, Harrison ACT 2914, Australia","(-35.191379, 149.160513)"
MOBILE SPEED CAMERA,3008A,"80 Kosciuszko Ave, Palmerston ACT 2913, Australia","(-35.19777, 149.120784)"
MOBILE SPEED CAMERA,0032C,"Kerrigan St, Dunlop ACT 2615, Australia","(-35.19227, 149.02869)"
MOBILE SPEED CAMERA,0169A,"10 Truscott St, Campbell ACT 2612, Australia","(-35.28723, 149.16128)"
MOBILE SPEED CAMERA,0141B,"39 Sturt Ave, Narrabundah ACT 2604, Australia","(-35.32921, 149.1483)"
MOBILE SPEED CAMERA,0098E,"Haydon Dr, Bruce ACT 2617, Australia","(-35.23761, 149.09108)"
MOBILE SPEED CAMERA,0220B,"Mulligans Flat Rd, Forde ACT 2914, Australia","(-35.160147, 149.147331)"
MOBILE SPEED CAMERA,0119J,"Horse Park Dr, Australian Capital Territory 2914, Australia","(-35.20151, 149.16713)"
MOBILE SPEED CAMERA,0197C,"Mirrabei Dr, Ngunnawal ACT 2913, Australia","(-35.17897, 149.12579)"
MOBILE SPEED CAMERA,0072K,"8827 Monaro Hwy, Theodore ACT 2905, Australia","(-35.479505, 149.145866)"
MOBILE SPEED CAMERA,0004Z2,"Belconnen Way, Bruce ACT 2617, Australia","(-35.26024, 149.0997)"
MOBILE SPEED CAMERA,0066B,"Ginninderra Dr, Kaleen ACT 2617, Australia","(-35.23746, 149.10024)"
MOBILE SPEED CAMERA,0165A,"45 Ellerston Ave, Isabella Plains ACT 2905, Australia","(-35.42718, 149.0991)"
MOBILE SPEED CAMERA,0256C,"363 Bugden Ave, Fadden ACT 2904, Australia","(-35.398905, 149.116474)"
MOBILE SPEED CAMERA,0178B,"181 Flemington Rd, Mitchell ACT 2911, Australia","(-35.21693, 149.14534)"
MOBILE SPEED CAMERA,0102K,"Fairbairn Ave, Campbell ACT 2612, Australia","(-35.28327, 149.15476)"
MOBILE SPEED CAMERA,0231C,"Sonza, 5893 Kings Hwy, Kowen ACT 2620, Australia","(-35.323841, 149.376737)"
MOBILE SPEED CAMERA,0040B,"122 Maribyrnong Ave, Kaleen ACT 2617, Australia","(-35.22167, 149.11128)"
MOBILE SPEED CAMERA,0013B,"Hindmarsh Dr, Symonston ACT 2609, Australia","(-35.34467, 149.14996)"
MOBILE SPEED CAMERA,0096E,"Coulter Dr, Belconnen ACT 2617, Australia","(-35.22691, 149.06072)"
MOBILE SPEED CAMERA,0254B,"52 Companion Cres, Flynn ACT 2615, Australia","(-35.209096, 149.042819)"
MOBILE SPEED CAMERA,0132C,"93 Canberra Ave, Griffith ACT 2603, Australia","(-35.32111, 149.14209)"
MOBILE SPEED CAMERA,0026D,"Tuggeranong Pkwy, Chifley ACT 2606, Australia","(-35.36068, 149.06782)"
MOBILE SPEED CAMERA,0262A,"154-162 Heagney Cres, Chisholm ACT 2905, Australia","(-35.425405, 149.132653)"
MOBILE SPEED CAMERA,0074F,"662 Mugga Ln, Canberra ACT 2901, Australia","(-35.39353, 149.13988)"
MOBILE SPEED CAMERA,0102B,"319 Fairbairn Ave, Pialligo ACT 2609, Australia","(-35.29638, 149.17471)"
MOBILE SPEED CAMERA,0072N,"Sunny Lane, 8239 Monaro Hwy, Australian Capital Territory 2901, Australia","(-35.537383, 149.137554)"
MOBILE SPEED CAMERA,0056B,"Athllon Dr, Kambah ACT 2902, Australia","(-35.39789, 149.06832)"
MOBILE SPEED CAMERA,0193A,"32 Throssell St, Curtin ACT 2605, Australia","(-35.3208, 149.075)"
MOBILE SPEED CAMERA,0243H,"Majura Parkway, Canberra ACT 2609, Australia","(-35.258807, 149.187156)"
MOBILE SPEED CAMERA,0243G,"Majura Parkway, Canberra ACT 2609, Australia","(-35.266928, 149.187201)"
MOBILE SPEED CAMERA,0051E,"71 La Perouse St, Griffith ACT 2603, Australia","(-35.33072, 149.13332)"
MOBILE SPEED CAMERA,0096J,"Coulter Dr, Belconnen ACT 2617, Australia","(-35.22338, 149.06211)"
MOBILE SPEED CAMERA,0262C,"274 Heagney Cres, Gilmore ACT 2905, Australia","(-35.415155, 149.13295)"
MOBILE SPEED CAMERA,0155A,"27-29 Charleston St, Monash ACT 2904, Australia","(-35.41749, 149.08014)"
MOBILE SPEED CAMERA,0072J,"Monaro Hwy, Theodore ACT 2905, Australia","(-35.463421, 149.134731)"
MOBILE SPEED CAMERA,0117B,"Tharwa Dr, Calwell ACT 2905, Australia","(-35.44334, 149.09827)"
MOBILE SPEED CAMERA,0009D,"123 Florey Dr, MacGregor ACT 2615, Australia","(-35.20743, 149.02678)"
MOBILE SPEED CAMERA,0005A,"3-9 Bowen Dr, Barton ACT 2600, Australia","(-35.30842, 149.1391)"
MOBILE SPEED CAMERA,0148C,"9-15 Troughton St, Banks ACT 2906, Australia","(-35.4708, 149.0999)"
MOBILE SPEED CAMERA,0020X,"Philmanda Park, 10494 Monaro Hwy, Jerrabomberra NSW 2619, Australia","(-35.35513, 149.16516)"
MOBILE SPEED CAMERA,0178I,"224 Flemington Rd, Harrison ACT 2914, Australia","(-35.19575, 149.15046)"
MOBILE SPEED CAMERA,0245A,"Aikman Dr, Belconnen ACT 2617, Australia","(-35.240624, 149.075135)"
MOBILE SPEED CAMERA,0098F,"Haydon Dr, Bruce ACT 2617, Australia","(-35.24735, 149.09133)"
MOBILE SPEED CAMERA,0094D,"335 Southern Cross Dr, Holt ACT 2615, Australia","(-35.21887, 149.01249)"
MOBILE SPEED CAMERA,0256E,"58-60 Bugden Ave, Gowrie ACT 2904, Australia","(-35.418344, 149.107107)"
MOBILE SPEED CAMERA,0012N,"Gungahlin Dr, Ngunnawal ACT 2913, Australia","(-35.18126, 149.109907)"
MOBILE SPEED CAMERA,0147A,"Eucumbene Dr, Duffy ACT 2611, Australia","(-35.32807, 149.02632)"
MOBILE SPEED CAMERA,0110A,"Archdall St, MacGregor ACT 2615, Australia","(-35.20348, 149.01665)"
MOBILE SPEED CAMERA,0040D,"273 Maribyrnong Ave, Kaleen ACT 2617, Australia","(-35.23345, 149.10446)"
MOBILE SPEED CAMERA,0210B,"39-41 Lyttleton Cres, Cook ACT 2614, Australia","(-35.26003, 149.06443)"
MOBILE SPEED CAMERA,0104A,"24 Mawson Dr, Mawson ACT 2607, Australia","(-35.36267, 149.10283)"
MOBILE SPEED CAMERA,0210C,"21 Lyttleton Cres, Cook ACT 2614, Australia","(-35.25806, 149.06407)"
MOBILE SPEED CAMERA,0164E,"74 Barr Smith Ave, Bonython ACT 2905, Australia","(-35.43167, 149.07576)"
MOBILE SPEED CAMERA,0111F,"96 Limestone Ave, Ainslie ACT 2602, Australia","(-35.26757, 149.13898)"
MOBILE SPEED CAMERA,0184A,"35 Telopea Park, Barton ACT 2600, Australia","(-35.31212, 149.13914)"
MOBILE SPEED CAMERA,0150B,"81 Forsythe St, Banks ACT 2906, Australia","(-35.47426, 149.10163)"
MOBILE SPEED CAMERA,0078B,"Canberra Ave, Fyshwick ACT 2609, Australia","(-35.32777, 149.15682)"
MOBILE SPEED CAMERA,0024D,"Tuggeranong Pkwy, Molonglo Valley ACT 2611, Australia","(-35.29404, 149.07183)"
MOBILE SPEED CAMERA,0210D,"53 Lyttleton Cres, Cook ACT 2614, Australia","(-35.2612, 149.06567)"
FIXED ONLY SPEED CAMERA,1029,MONARO HIGHWAY BETWEEN MUGGA LANE AND ISABELLA DRIVE,"(-35.40282, 149.147581)"
MOBILE SPEED CAMERA,0023B,"Parkes Way, Acton ACT 2601, Australia","(-35.28467, 149.10257)"
MOBILE SPEED CAMERA,0115K,"Isabella Dr, Fadden ACT 2904, Australia","(-35.41223, 149.12676)"
MOBILE SPEED CAMERA,0001A,"Adelaide Ave & Tourist Drive 5 & Kent St, Deakin ACT 2600, Australia","(-35.3139, 149.0995)"
